symbol,exchange,db_instrument_token,resolved_instrument_token,matched_key,expected_keys,candidate_keys,status
ABBOTINDIA,NSE,4583169,4583169,NSE:ABBOTINDIA,NSE:ABBOTINDIA | NSE:ABBOTINDIA-BE,,MATCHED
ABSLAMC,NSE,1540609,1540609,NSE:ABSLAMC,NSE:ABSLAMC | NSE:ABSLAMC-BE,,MATCHED
ACCELYA,NSE,1805569,1805569,NSE:ACCELYA,NSE:ACCELYA | NSE:ACCELYA-BE,,MATCHED
ACE,NSE,3478273,3478273,NSE:ACE,NSE:ACE | NSE:ACE-BE,,MATCHED
ACUTAAS,NSE,1427969,1427969,NSE:ACUTAAS,NSE:ACUTAAS | NSE:ACUTAAS-BE,,MATCHED
ADANIENSOL,NSE,2615553,2615553,NSE:ADANIENSOL,NSE:ADANIENSOL | NSE:ADANIENSOL-BE,,MATCHED
ADANIENT,NSE,6401,6401,NSE:ADANIENT,NSE:ADANIENT | NSE:ADANIENT-BE,,MATCHED
ADANIGREEN,NSE,912129,912129,NSE:ADANIGREEN,NSE:ADANIGREEN | NSE:ADANIGREEN-BE,,MATCHED
AEROFLEX,NSE,4676609,4676609,NSE:AEROFLEX,NSE:AEROFLEX | NSE:AEROFLEX-BE,,MATCHED
ANANDRATHI,NSE,1829121,1829121,NSE:ANANDRATHI,NSE:ANANDRATHI | NSE:ANANDRATHI-BE,,MATCHED
ANANTRAJ,NSE,3486721,3486721,NSE:ANANTRAJ,NSE:ANANTRAJ | NSE:ANANTRAJ-BE,,MATCHED
APEX,NSE,5535489,5535489,NSE:APEX,NSE:APEX | NSE:APEX-BE,,MATCHED
APOLLO,NSE,290305,290305,NSE:APOLLO,NSE:APOLLO | NSE:APOLLO-BE,,MATCHED
ARE&M,NSE,25601,25601,NSE:ARE&M,NSE:ARE&M | NSE:ARE&M-BE,,MATCHED
ASHOKLEY,NSE,54273,54273,NSE:ASHOKLEY,NSE:ASHOKLEY | NSE:ASHOKLEY-BE,,MATCHED
ASTRAMICRO,NSE,2974209,2974209,NSE:ASTRAMICRO,NSE:ASTRAMICRO | NSE:ASTRAMICRO-BE,,MATCHED
ATHERENERG,NSE,193957121,193957121,NSE:ATHERENERG,NSE:ATHERENERG | NSE:ATHERENERG-BE,,MATCHED
AVANTIFEED,NSE,2031617,2031617,NSE:AVANTIFEED,NSE:AVANTIFEED | NSE:AVANTIFEED-BE,,MATCHED
BBOX,NSE,879361,879361,NSE:BBOX,NSE:BBOX | NSE:BBOX-BE,,MATCHED
BEL,NSE,98049,98049,NSE:BEL,NSE:BEL | NSE:BEL-BE,,MATCHED
BHAGYANGR,NSE,5324545,5324545,NSE:BHAGYANGR-BE,NSE:BHAGYANGR | NSE:BHAGYANGR-BE,,MATCHED
BHARATFORG,NSE,108033,108033,NSE:BHARATFORG,NSE:BHARATFORG | NSE:BHARATFORG-BE,,MATCHED
BHARTIARTL,NSE,2714625,2714625,NSE:BHARTIARTL,NSE:BHARTIARTL | NSE:BHARTIARTL-BE,,MATCHED
BHEL,NSE,112129,112129,NSE:BHEL,NSE:BHEL | NSE:BHEL-BE,,MATCHED
BOSCHLTD,NSE,558337,558337,NSE:BOSCHLTD,NSE:BOSCHLTD | NSE:BOSCHLTD-BE,,MATCHED
CASTROLIND,NSE,320001,320001,NSE:CASTROLIND,NSE:CASTROLIND | NSE:CASTROLIND-BE,,MATCHED
CEMPRO,NSE,1439233,1439233,NSE:CEMPRO,NSE:CEMPRO | NSE:CEMPRO-BE,,MATCHED
CGPOWER,NSE,194561,194561,NSE:CGPOWER,NSE:CGPOWER | NSE:CGPOWER-BE,,MATCHED
COFORGE,NSE,2955009,2955009,NSE:COFORGE,NSE:COFORGE | NSE:COFORGE-BE,,MATCHED
CPPLUS,NSE,194267649,194267649,NSE:CPPLUS,NSE:CPPLUS | NSE:CPPLUS-BE,,MATCHED
CUMMINSIND,NSE,486657,486657,NSE:CUMMINSIND,NSE:CUMMINSIND | NSE:CUMMINSIND-BE,,MATCHED
DATAPATTNS,NSE,1883649,1883649,NSE:DATAPATTNS,NSE:DATAPATTNS | NSE:DATAPATTNS-BE,,MATCHED
DELHIVERY,NSE,2457345,2457345,NSE:DELHIVERY,NSE:DELHIVERY | NSE:DELHIVERY-BE,,MATCHED
DELTACORP,NSE,3851265,3851265,NSE:DELTACORP,NSE:DELTACORP | NSE:DELTACORP-BE,,MATCHED
DIVISLAB,NSE,2800641,2800641,NSE:DIVISLAB,NSE:DIVISLAB | NSE:DIVISLAB-BE,,MATCHED
DIXON,NSE,5552641,5552641,NSE:DIXON,NSE:DIXON | NSE:DIXON-BE,,MATCHED
DREDGECORP,NSE,2885377,2885377,NSE:DREDGECORP,NSE:DREDGECORP | NSE:DREDGECORP-BE,,MATCHED
EICHERMOT,NSE,232961,232961,NSE:EICHERMOT,NSE:EICHERMOT | NSE:EICHERMOT-BE,,MATCHED
ELECON,NSE,3492609,3492609,NSE:ELECON,NSE:ELECON | NSE:ELECON-BE,,MATCHED
EMCURE,NSE,6245889,6245889,NSE:EMCURE,NSE:EMCURE | NSE:EMCURE-BE,,MATCHED
EMMVEE,NSE,194490369,194490369,NSE:EMMVEE,NSE:EMMVEE | NSE:EMMVEE-BE,,MATCHED
EPL,NSE,251137,251137,NSE:EPL,NSE:EPL | NSE:EPL-BE,,MATCHED
ETERNAL,NSE,1304833,1304833,NSE:ETERNAL,NSE:ETERNAL | NSE:ETERNAL-BE,,MATCHED
FORCEMOT,NSE,2962689,2962689,NSE:FORCEMOT,NSE:FORCEMOT | NSE:FORCEMOT-BE,,MATCHED
FRACTAL,NSE,194806017,194806017,NSE:FRACTAL,NSE:FRACTAL | NSE:FRACTAL-BE,,MATCHED
GMDCLTD,NSE,1332225,1332225,NSE:GMDCLTD,NSE:GMDCLTD | NSE:GMDCLTD-BE,,MATCHED
GOLDIAM,NSE,3064577,3064577,NSE:GOLDIAM,NSE:GOLDIAM | NSE:GOLDIAM-BE,,MATCHED
GRASIM,NSE,315393,315393,NSE:GRASIM,NSE:GRASIM | NSE:GRASIM-BE,,MATCHED
GROWW,NSE,194510337,194510337,NSE:GROWW,NSE:GROWW | NSE:GROWW-BE,,MATCHED
GVT&D,NSE,4296449,4296449,NSE:GVT&D,NSE:GVT&D | NSE:GVT&D-BE,,MATCHED
HDFCBANK,NSE,341249,341249,NSE:HDFCBANK,NSE:HDFCBANK | NSE:HDFCBANK-BE,,MATCHED
HIMATSEIDE,NSE,348161,348161,NSE:HIMATSEIDE,NSE:HIMATSEIDE | NSE:HIMATSEIDE-BE,,MATCHED
ICICIBANK,NSE,1270529,1270529,NSE:ICICIBANK,NSE:ICICIBANK | NSE:ICICIBANK-BE,,MATCHED
IDBI,NSE,377857,377857,NSE:IDBI,NSE:IDBI | NSE:IDBI-BE,,MATCHED
IGL,NSE,2883073,2883073,NSE:IGL,NSE:IGL | NSE:IGL-BE,,MATCHED
INDIAMART,NSE,2745857,2745857,NSE:INDIAMART,NSE:INDIAMART | NSE:INDIAMART-BE,,MATCHED
INDIGO,NSE,2865921,2865921,NSE:INDIGO,NSE:INDIGO | NSE:INDIGO-BE,,MATCHED
INFY,NSE,408065,408065,NSE:INFY,NSE:INFY | NSE:INFY-BE,,MATCHED
INOXWIND,NSE,2010113,2010113,NSE:INOXWIND,NSE:INOXWIND | NSE:INOXWIND-BE,,MATCHED
IREDA,NSE,5186817,5186817,NSE:IREDA,NSE:IREDA | NSE:IREDA-BE,,MATCHED
ITC,NSE,424961,424961,NSE:ITC,NSE:ITC | NSE:ITC-BE,,MATCHED
JIOFIN,NSE,4644609,4644609,NSE:JIOFIN,NSE:JIOFIN | NSE:JIOFIN-BE,,MATCHED
KAYNES,NSE,3095553,3095553,NSE:KAYNES,NSE:KAYNES | NSE:KAYNES-BE,,MATCHED
KEC,NSE,3394561,3394561,NSE:KEC,NSE:KEC | NSE:KEC-BE,,MATCHED
KEI,NSE,3407361,3407361,NSE:KEI,NSE:KEI | NSE:KEI-BE,,MATCHED
KMEW,NSE,6933505,6933505,NSE:KMEW,NSE:KMEW | NSE:KMEW-BE,,MATCHED
KPRMILL,NSE,3817473,3817473,NSE:KPRMILL,NSE:KPRMILL | NSE:KPRMILL-BE,,MATCHED
KRISHANA,NSE,3288833,3288833,NSE:KRISHANA,NSE:KRISHANA | NSE:KRISHANA-BE,,MATCHED
KRN,NSE,6565121,6565121,NSE:KRN-BE,NSE:KRN | NSE:KRN-BE,,MATCHED
LENSKART,NSE,194458881,194458881,NSE:LENSKART,NSE:LENSKART | NSE:LENSKART-BE,,MATCHED
LT,NSE,2939649,2939649,NSE:LT,NSE:LT | NSE:LT-BE,,MATCHED
M&M,NSE,519937,519937,NSE:M&M,NSE:M&M | NSE:M&M-BE,,MATCHED
MARUTI,NSE,2815745,2815745,NSE:MARUTI,NSE:MARUTI | NSE:MARUTI-BE,,MATCHED
MEESHO,NSE,194618625,194618625,NSE:MEESHO,NSE:MEESHO | NSE:MEESHO-BE,,MATCHED
MGL,NSE,4488705,4488705,NSE:MGL,NSE:MGL | NSE:MGL-BE,,MATCHED
MOTHERSON,NSE,1076225,1076225,NSE:MOTHERSON,NSE:MOTHERSON | NSE:MOTHERSON-BE,,MATCHED
MTARTECH,NSE,693505,693505,NSE:MTARTECH,NSE:MTARTECH | NSE:MTARTECH-BE,,MATCHED
NATCOPHARM,NSE,1003009,1003009,NSE:NATCOPHARM,NSE:NATCOPHARM | NSE:NATCOPHARM-BE,,MATCHED
NATIONALUM,NSE,1629185,1629185,NSE:NATIONALUM,NSE:NATIONALUM | NSE:NATIONALUM-BE,,MATCHED
NAVINFLUOR,NSE,3756033,3756033,NSE:NAVINFLUOR,NSE:NAVINFLUOR | NSE:NAVINFLUOR-BE,,MATCHED
NETWEB,NSE,4462849,4462849,NSE:NETWEB,NSE:NETWEB | NSE:NETWEB-BE,,MATCHED
NHPC,NSE,4454401,4454401,NSE:NHPC,NSE:NHPC | NSE:NHPC-BE,,MATCHED
NIFTY 50,NSE,256265,256265,NSE:NIFTY 50,NSE:NIFTY 50 | NSE:NIFTY 50-BE,,MATCHED
NLCINDIA,NSE,2197761,2197761,NSE:NLCINDIA,NSE:NLCINDIA | NSE:NLCINDIA-BE,,MATCHED
NMDC,NSE,3924993,3924993,NSE:NMDC,NSE:NMDC | NSE:NMDC-BE,,MATCHED
NTPC,NSE,2977281,2977281,NSE:NTPC,NSE:NTPC | NSE:NTPC-BE,,MATCHED
NYKAA,NSE,1675521,1675521,NSE:NYKAA,NSE:NYKAA | NSE:NYKAA-BE,,MATCHED
OFSS,NSE,2748929,2748929,NSE:OFSS,NSE:OFSS | NSE:OFSS-BE,,MATCHED
PERSISTENT,NSE,4701441,4701441,NSE:PERSISTENT,NSE:PERSISTENT | NSE:PERSISTENT-BE,,MATCHED
PFIZER,NSE,676609,676609,NSE:PFIZER,NSE:PFIZER | NSE:PFIZER-BE,,MATCHED
PINELABS,NSE,194513921,194513921,NSE:PINELABS,NSE:PINELABS | NSE:PINELABS-BE,,MATCHED
PNB,NSE,2730497,2730497,NSE:PNB,NSE:PNB | NSE:PNB-BE,,MATCHED
POLICYBZR,NSE,1703937,1703937,NSE:POLICYBZR,NSE:POLICYBZR | NSE:POLICYBZR-BE,,MATCHED
POLYCAB,NSE,2455041,2455041,NSE:POLYCAB,NSE:POLYCAB | NSE:POLYCAB-BE,,MATCHED
POWERGRID,NSE,3834113,3834113,NSE:POWERGRID,NSE:POWERGRID | NSE:POWERGRID-BE,,MATCHED
POWERINDIA,NSE,4724993,4724993,NSE:POWERINDIA,NSE:POWERINDIA | NSE:POWERINDIA-BE,,MATCHED
PWL,NSE,194489089,194489089,NSE:PWL,NSE:PWL | NSE:PWL-BE,,MATCHED
RAYMOND,NSE,731905,731905,NSE:RAYMOND,NSE:RAYMOND | NSE:RAYMOND-BE,,MATCHED
RBLBANK,NSE,4708097,4708097,NSE:RBLBANK,NSE:RBLBANK | NSE:RBLBANK-BE,,MATCHED
RELIANCE,NSE,738561,738561,NSE:RELIANCE,NSE:RELIANCE | NSE:RELIANCE-BE,,MATCHED
RRKABEL,NSE,4752897,4752897,NSE:RRKABEL,NSE:RRKABEL | NSE:RRKABEL-BE,,MATCHED
SAREGAMA,NSE,1252353,1252353,NSE:SAREGAMA,NSE:SAREGAMA | NSE:SAREGAMA-BE,,MATCHED
SBIN,NSE,779521,779521,NSE:SBIN,NSE:SBIN | NSE:SBIN-BE,,MATCHED
SCHAEFFLER,NSE,258817,258817,NSE:SCHAEFFLER,NSE:SCHAEFFLER | NSE:SCHAEFFLER-BE,,MATCHED
SCHNEIDER,NSE,7995905,7995905,NSE:SCHNEIDER,NSE:SCHNEIDER | NSE:SCHNEIDER-BE,,MATCHED
SIGNATURE,NSE,4798209,4798209,NSE:SIGNATURE,NSE:SIGNATURE | NSE:SIGNATURE-BE,,MATCHED
SMLMAH,NSE,867073,867073,NSE:SMLMAH,NSE:SMLMAH | NSE:SMLMAH-BE,,MATCHED
SONACOMS,NSE,1199105,1199105,NSE:SONACOMS,NSE:SONACOMS | NSE:SONACOMS-BE,,MATCHED
SONATSOFTW,NSE,1688577,1688577,NSE:SONATSOFTW,NSE:SONATSOFTW | NSE:SONATSOFTW-BE,,MATCHED
SUDEEPPHRM,NSE,194569985,194569985,NSE:SUDEEPPHRM,NSE:SUDEEPPHRM | NSE:SUDEEPPHRM-BE,,MATCHED
SUZLON,NSE,3076609,3076609,NSE:SUZLON,NSE:SUZLON | NSE:SUZLON-BE,,MATCHED
SWARAJENG,NSE,866305,866305,NSE:SWARAJENG,NSE:SWARAJENG | NSE:SWARAJENG-BE,,MATCHED
TARIL,NSE,3884545,3884545,NSE:TARIL,NSE:TARIL | NSE:TARIL-BE,,MATCHED
TATAPOWER,NSE,877057,877057,NSE:TATAPOWER,NSE:TATAPOWER | NSE:TATAPOWER-BE,,MATCHED
TATASTEEL,NSE,895745,895745,NSE:TATASTEEL,NSE:TATASTEEL | NSE:TATASTEEL-BE,,MATCHED
TECHM,NSE,3465729,3465729,NSE:TECHM,NSE:TECHM | NSE:TECHM-BE,,MATCHED
TECHNOE,NSE,1649921,1649921,NSE:TECHNOE,NSE:TECHNOE | NSE:TECHNOE-BE,,MATCHED
TENNIND,NSE,194529281,194529281,NSE:TENNIND,NSE:TENNIND | NSE:TENNIND-BE,,MATCHED
TITAN,NSE,897537,897537,NSE:TITAN,NSE:TITAN | NSE:TITAN-BE,,MATCHED
TMCV,NSE,194504193,194504193,NSE:TMCV,NSE:TMCV | NSE:TMCV-BE,,MATCHED
UNOMINDA,NSE,3623425,3623425,NSE:UNOMINDA,NSE:UNOMINDA | NSE:UNOMINDA-BE,,MATCHED
VBL,NSE,4843777,4843777,NSE:VBL,NSE:VBL | NSE:VBL-BE,,MATCHED
VEDL,NSE,784129,784129,NSE:VEDL,NSE:VEDL | NSE:VEDL-BE,,MATCHED
VOLTAMP,NSE,3475713,3475713,NSE:VOLTAMP,NSE:VOLTAMP | NSE:VOLTAMP-BE,,MATCHED
WAAREEENER,NSE,6632193,6632193,NSE:WAAREEENER,NSE:WAAREEENER | NSE:WAAREEENER-BE,,MATCHED
WAAREERTL,NSE,193545729,193545729,NSE:WAAREERTL,NSE:WAAREERTL | NSE:WAAREERTL-BE,,MATCHED
WALCHANNAG,NSE,956417,956417,NSE:WALCHANNAG,NSE:WALCHANNAG | NSE:WALCHANNAG-BE,,MATCHED
WIPRO,NSE,969473,969473,NSE:WIPRO,NSE:WIPRO | NSE:WIPRO-BE,,MATCHED
